Name	Set	ImageFile	Rarity	Unique	CollectorsInfo	Type	Cost	Mission	DilemmaType	Span	Points	Quadrant	Affiliation	Icons	Staff	Keywords	Class	Species	Skills	Integrity	Range	Cunning	Weapons	Strength	Shields	gametext	HoF
"Kira Nerys Starfleet Emissary"	"R2"	"ST2E-EN06050"	"P"	"Y"	"6P050"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Cmd][DS9]"	""	""	""	"Bajoran"	"Leadership Officer Security"	"6"	"6"	"6"	"6"	"6"	"6"	"You may play this personnel at {Bajor} or {Cardassia Prime}. While this personnel is facing a dilemma, you may discard an event from hand to make a non-Bajoran present attributes +2 until the end of that dilemma."	"Y"
"Santos Squad Leader"	"R2"	"ST2E-EN06051"	"P"	"Y"	"6P051"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Cmd][Maq]"	""	""	""	"Human"	"Leadership Medical Navigation Transporters"	"4"	"4"	"5"	"5"	"6"	"6"	"While this personnel is attempting a mission, you may destroy your event to add that event's cost to this personnel's attributes until the end of that mission attempt."	"Y"
"Shankar Maquis Soldier"	"R2"	"ST2E-EN06052"	"P"	"Y"	"6P052"	"Personnel"	"4"	""	""	""	""	""	"Federation"	"[Cmd][Maq]"	""	""	""	"Human"	"Archaeology Biology Geology Officer Treachery"	"4"	"4"	"6"	"6"	"6"	"6"	"When you play this personnel, if you command at least three Region: Demilitarized Zone missions, you may make each opponent place his or her hand on the top of his or her deck in the order of his or her choice."	"N"
"William T. Riker Wistful Admiral"	"R2"	"ST2E-EN06053"	"P"	"Y"	"6P053"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Cmd][TNG][Fut]"	""	"Admiral. Commander: U.S.S. Enterprise-D."	""	"Human"	"Leadership Navigation Officer Security"	"5"	"5"	"6"	"6"	"5"	"5"	"While this personnel is attempting a space mission, he is attributes +1 and gains Diplomacy and Law."	"Y"
"Alexander Rozhenko K'mtar"	"R2"	"ST2E-EN06054"	"P"	"Y"	"6P054"	"Personnel"	"4"	""	""	""	""	""	"Klingon"	"[Cmd][Fut]"	""	"High Council Member."	""	"Human/Klingon"	"2 Diplomacy Honor Programming Transporters"	"8"	"8"	"5"	"5"	"8"	"8"	"When you play this personnel, if each of your non-headquarters missions requires Diplomacy, you may download up to two events, then play each of them at cost -3."	"N"
"Worf Son of Mogh"	"R2"	"ST2E-EN06055"	"P"	"Y"	"6P055"	"Personnel"	"2"	""	""	""	""	""	"Klingon"	"[Cmd]"	""	""	""	"Klingon"	"2 Honor Officer Physics 2 Security"	"8"	"8"	"5"	"5"	"8"	"8"	"When you play this personnel, each opponent draws a card."	"Y"
"Jean-Luc Picard Galen"	"R2"	"ST2E-EN06056"	"P"	"Y"	"6P056"	"Personnel"	"3"	""	""	""	""	""	"Non-Aligned"	"[Cmd]"	""	"Commander: Fortune. Thief."	""	"Human"	"Anthropology Archaeology Leadership Science"	"6"	"6"	"6"	"6"	"6"	"6"	"While an artifact is in your discard pile, each of your {Smuggler} personnel and {Thief} personnel is attributes +1."	"Y"
"Vina Orion Slave Girl"	"R2"	"ST2E-EN06057"	"P"	"Y"	"6P057"	"Personnel"	"2"	""	""	""	""	""	"Non-Aligned"	"[AU]"	""	""	""	"Orion"	"Honor"	"6"	"6"	"4"	"4"	"3"	"3"	"Order - This personnel gains any one skill of your choice. She keeps that skill until this order is executed again."	"Y"
"Deanna Troi Major Rakal"	"R2"	"ST2E-EN06058"	"P"	"Y"	"6P058"	"Personnel"	"2"	""	""	""	""	""	"Romulan"	"[Cmd]"	""	""	""	"Betazoid/Human"	"Anthropology Telepathy"	"6"	"6"	"5"	"5"	"4"	"4"	"While this personnel is present with a [Rom] Dissident personnel, she is attributes +1 and gains Intelligence, Leadership and Security."	"Y"
"Mendak Duplicitous Admiral"	"R2"	"ST2E-EN06059"	"P"	"Y"	"6P059"	"Personnel"	"3"	""	""	""	""	""	"Romulan"	"[Cmd]"	""	"Admiral. Commander: Devoras."	""	"Romulan"	"Exobiology Intelligence Leadership Officer Transporters Treachery"	"3"	"3"	"7"	"7"	"6"	"6"	"While each of your non-headquarters missions is not a [Rom] mission, you may attempt each of them using your [Rom] personnel."	"Y"
"Kira Nerys The Intendant"	"FT"	"ST2E-EN05022"	"P"	"Y"	"5P022"	"Personnel"	"3"	""	""	""	""	""	"Bajoran"	"[Cmd][AU]"	""	""	""	"Bajoran"	"Exobiology Intelligence Leadership Transporters 2 Treachery"	"2"	"2"	"6"	"6"	"5"	"5"	"Order - Remove a card in your discard pile from the game to download a copy of that card. You may do this only once each turn."	"Y"
"Kira Taban Husband and Father"	"FT"	"ST2E-EN05023"	"P"	"Y"	"5P023"	"Personnel"	"2"	""	""	""	""	""	"Bajoran"	"[Stf][Pa]"	""	"Bajoran Resistance."	""	"Bajoran"	"Biology Honor Medical Physics"	"6"	"6"	"5"	"5"	"5"	"5"	"When you play this personnel, if you have a lower score than each of your opponents, score 5 points."	"Y"
"Dukat Prefect of Bajor"	"FT"	"ST2E-EN05024"	"P"	"Y"	"5P024"	"Personnel"	"3"	""	""	""	""	""	"Cardassian"	"[Cmd][Pa]"	""	"Gul."	""	"Cardassian"	"Diplomacy Exobiology Leadership Officer 2 Treachery"	"2"	"2"	"6"	"6"	"6"	"6"	"When this personnel or a [Car] personnel present is about to be stopped by a dilemma, you may discard a non-[Car] personnel from hand to prevent that. You may do this only once each turn."	"Y"
"Elim Garak First Officer of Terok Nor"	"FT"	"ST2E-EN05025"	"P"	"Y"	"5P025"	"Personnel"	"2"	""	""	""	""	""	"Cardassian"	"[Stf][AU]"	""	""	""	"Cardassian"	"Biology Officer Programming Security 2 Treachery"	"2"	"2"	"6"	"6"	"6"	"6"	"When a personnel at this mission is about to be stopped by a dilemma, you may kill your captive to prevent that."	"Y"
"Borath Subconscious Projection"	"FT"	"ST2E-EN05026"	"P"	"Y"	"5P026"	"Personnel"	"4"	""	""	""	""	""	"Dominion"	"[Cmd][AU]"	""	"Founder."	""	"Vorta"	"Diplomacy Leadership Medical Programming Treachery"	"4"	"4"	"6"	"6"	"4"	"4"	"Order - Stop your Jem'Hadar present to reveal the top card of your deck and an opponent's deck. If they are the same card type, draw yours and discard the opponent's."	"Y"
"Founder Agitator Elusive Assassin"	"FT"	"ST2E-EN05027"	"P"	"Y"	"5P027"	"Personnel"	"2"	""	""	""	""	""	"Dominion"	"[Stf]"	""	"Assassin. Founder. Infiltrator. Shape-shifter."	""	"Changeling"	"Physics Science Security 2 Treachery"	"2"	"2"	"6"	"6"	"6"	"6"	"Order - Return this personnel to his owner's hand to return one opponent's non-unique personnel present to his or her owner's hand for each headquarters mission that opponent commands."	"Y"
"James T. Kirk Living Legend"	"FT"	"ST2E-EN05028ab"	"P"	"Y"	"5P028"	"Personnel"	"4"	""	""	""	""	""	"Federation"	"[Cmd][E][Pa]"	""	""	""	"Human"	"2 Honor Leadership"	"7"	"7"	"6"	"6"	"5"	"5"	"While this personnel is facing a dilemma that has requirements you cannot meet, you may kill this personnel to prevent and overcome that dilemma."	"N"
"Tasha Yar Tactical Officer"	"FT"	"ST2E-EN05029"	"P"	"Y"	"5P029"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Stf][TNG][AU]"	""	""	""	"Human"	"Engineer Honor Leadership Security"	"7"	"7"	"5"	"5"	"6"	"6"	"While this personnel is attempting a mission, you may place her on top of her owner's deck to prevent one of your personnel present from being stopped by dilemmas until the end of this turn."	"Y"
"Worf First Officer"	"FT"	"ST2E-EN05030"	"P"	"Y"	"5P030"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Cmd][TNG][AU]"	""	""	""	"Klingon"	"Honor Leadership Navigation Officer"	"7"	"7"	"5"	"5"	"8"	"8"	"While this personnel is facing a dilemma, you may discard two cards from hand to exchange a [TNG] personnel you own present with a [TNG] personnel who has the same cost from your hand."	"Y"
"Korath Duplicitous Tinkerer"	"FT"	"STVE-EN05031ab"	"P"	"Y"	"5P031"	"Personnel"	"3"	""	""	""	""	""	"Klingon"	"[Cmd][Fut]"	""	"High Council Member."	""	"Klingon"	"Diplomacy Engineer Leadership Physics"	"4"	"4"	"6"	"6"	"7"	"7"	"When you are about to play a non-Hand Weapon equipment, you may play it at cost +2 and stop this personnel to destroy an opponent's event that has no cards on it."	"Y"
"Worf Regent of the Alliance"	"FT"	"ST2E-EN05032"	"P"	"Y"	"5P032"	"Personnel"	"3"	""	""	""	""	""	"Klingon"	"[Cmd][AU]"	""	"Chancellor."	""	"Klingon"	"Biology Leadership Officer 2 Treachery"	"2"	"2"	"5"	"5"	"8"	"8"	"While this personnel is facing a dilemma, you may discard a [Car] or [Kli] personnel from hand to make this personnel attributes +3 until the end of that dilemma."	"Y"
"Benjamin Sisko Outlaw"	"FT"	"ST2E-EN05033ab"	"P"	"Y"	"5P033"	"Personnel"	"3"	""	""	""	""	""	"Non-Aligned"	"[Cmd][AU]"	""	""	""	"Human"	"Acquisition Anthropology Biology Leadership Navigation"	"5"	"5"	"5"	"5"	"6"	"6"	"Order - Choose one for this personnel to gain: ""Honor personnel present are Cunning +1""; or ""Treachery personnel present are Cunning +1"". This effect lasts until this order is executed again."	"Y"
"Daniels Temporal Enforcer"	"FT"	"ST2E-EN05034"	"P"	"Y"	"5P034"	"Personnel"	"3"	""	""	""	""	""	"Non-Aligned"	"[Stf][Fut]"	""	""	""	"Alien/Human"	"Anthropology Archaeology Engineer Intelligence Physics Security"	"6"	"6"	"6"	"6"	"6"	"6"	"When this personnel is killed, shuffle him into his owner's deck."	"Y"
"Miles O'Brien ""Smiley"""	"FT"	"ST2E-EN05035"	"P"	"Y"	"5P035"	"Personnel"	"4"	""	""	""	""	""	"Non-Aligned"	"[Cmd][AU]"	""	""	""	"Human"	"Engineer Leadership Physics Transporters"	"5"	"5"	"6"	"6"	"6"	"6"	"When you play a ship at this mission, if you have played no other ships this turn, it is cost -1 for each of your Engineer personnel at this mission."	"Y"
"The Traveler Transcendent Explorer"	"FT"	"ST2E-EN05036"	"P"	"Y"	"5P036"	"Personnel"	"2"	""	""	""	""	""	"Non-Aligned"	"[Stf]"	""	""	""	"Alien"	"Anthropology Astrometrics Engineer Honor 2 Physics Science"	"6"	"6"	"8"	"8"	"3"	"3"	"When this personnel is stopped by a dilemma, place him on the bottom of his owner's deck."	"Y"
"Tomalak Irate Commander"	"FT"	"ST2E-EN05037"	"P"	"Y"	"5P037"	"Personnel"	"2"	""	""	""	""	""	"Romulan"	"[Cmd][AU]"	""	"Commander: Terix."	""	"Romulan"	"Diplomacy Exobiology Leadership Officer"	"4"	"4"	"6"	"6"	"7"	"7"	"At the start of each of your turns, you may stop your [Rom] personnel present to reveal the top card of each player's deck."	"Y"
"Benjamin Sisko Shipwright"	"X"	"ST2E-EN00006"	"P"	"Y"	"0P006"	"Personnel"	"4"	""	""	""	""	""	"Bajoran"	"[Cmd][DS9]"	""	"Commander: Baraka."	""	"Human"	"Anthropology Astrometrics Engineer Honor Navigation"	"7"	"7"	"6"	"6"	"6"	"6"	"While this personnel is aboard a [Baj] ship, it is Range +1."	"Y"
"Borg Queen Perfectionist"	"X"	"ST2E-EN00007"	"P"	"Y"	"0P007"	"Personnel"	"3"	""	""	""	""	""	"Borg"	"[Cmd]"	""	"Commander: Queen's Borg Cube."	""	"Borg"	"3 Leadership Treachery"	"3"	"3"	"8"	"8"	"6"	"6"	"While this personnel is facing a dilemma, each personnel you command but do not own cannot be stopped."	"Y"
"Dukat True Cardassian"	"X"	"ST2E-EN00008"	"P"	"Y"	"0P008"	"Personnel"	"3"	""	""	""	""	""	"Cardassian"	"[Cmd]"	""	"Commander: Naprem."	""	"Cardassian"	"Leadership Navigation Officer Programming Security"	"4"	"4"	"6"	"6"	"6"	"6"	"When an engagement involving this personnel ends, the ship he is aboard and each of your [Car] personnel aboard it are not stopped. You cannot begin any other engagements this turn."	"Y"
"Kudak'Etan Arrogant First"	"X"	"ST2E-EN00009"	"P"	"Y"	"0P009"	"Personnel"	"3"	""	""	""	""	""	"Dominion"	"[Cmd]"	""	"Alpha. Commander: U.S.S. Defiant."	""	"Jem'Hadar"	"Astrometrics Leadership Navigation Officer"	"5"	"5"	"5"	"5"	"8"	"8"	"Order - Discard a Vorta from hand to place this personnel and any number of your Jem'Hadar present aboard a ship at the same mission."	"Y"
"Data Commanding Officer"	"X"	"ST2E-EN00010"	"P"	"Y"	"0P010"	"Personnel"	"5"	""	""	""	""	""	"Federation"	"[Cmd][E]"	""	"Commander: U.S.S. Sutherland."	""	"Android"	"Engineer Leadership Officer Physics Programming"	"6"	"6"	"10"	"10"	"10"	"10"	"Order - Discard a card from hand to name a card. When an opponent plays that card, score 5 points. This effect lasts until the start of your next turn. You may do this only once each turn."	"Y"
"Jean-Luc Picard Starship Captain"	"X"	"ST2E-EN00011"	"P"	"Y"	"0P011"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Cmd][TNG]"	""	"Commander: U.S.S. Enterprise-D."	""	"Human"	"Diplomacy Honor Law Leadership Navigation Officer"	"8"	"8"	"6"	"6"	"6"	"6"	"Order - This personnel loses Diplomacy, Law, and Navigation and gains Anthropology, Archaeology, and Science until the end of this turn. You may do this only once each turn."	"Y"
"Gowron Sole Leader of the Empire"	"X"	"ST2E-EN00012"	"P"	"Y"	"0P012"	"Personnel"	"3"	""	""	""	""	""	"Klingon"	"[Cmd]"	""	"Chancellor. Commander: I.K.S. Bortas."	""	"Klingon"	"Honor Law 2 Leadership Security"	"6"	"6"	"5"	"5"	"8"	"8"	"When your Honor Klingon is about to be stopped or killed by a dilemma, you may discard a Treachery Klingon from hand to prevent that. You may do this only once each turn."	"Y"
"Arctus Baran Treasure Seeker"	"X"	"ST2E-EN00013"	"P"	"Y"	"0P013"	"Personnel"	"2"	""	""	""	""	""	"Non-Aligned"	"[Cmd]"	""	"Commander: Fortune. Smuggler. Thief."	""	"Alien"	"Archaeology Officer Security Treachery"	"2"	"2"	"5"	"5"	"6"	"6"	"When this personnel uses a skill to complete a mission, you may download an Artifact card and place it in your core (if it is an event) or present with this personnel (if it is an equipment)."	"Y"
"Velal Reluctant Aggressor"	"X"	"ST2E-EN00014"	"P"	"Y"	"0P014"	"Personnel"	"2"	""	""	""	""	""	"Romulan"	"[Cmd]"	""	"Commander: Rovaran. General."	""	"Romulan"	"Archaeology Leadership Officer Security"	"5"	"5"	"6"	"6"	"6"	"6"	"When the player on your right attempts this mission, if you command a Maneuver event, you may draw an extra dilemma and spend one extra in total cost on dilemmas."	"Y"
"Anneli"	"NE"	"ST2E-EN04099"	"C"	"N"	"4C099"	"Personnel"	"1"	""	""	""	""	""	"Bajoran"	"[Stf][DS9]"	""	""	""	"Bajoran"	"Astrometrics Biology Science"	"5"	"5"	"5"	"5"	"5"	"5"	"While you command an event in your core, this personnel is attributes +1."	"Y"
"Bareil Antos Opaka's Protector"	"NE"	"ST2E-EN04100"	"R"	"Y"	"4R100"	"Personnel"	"4"	""	""	""	""	""	"Bajoran"	""	""	"Vedek."	""	"Bajoran"	"Anthropology Diplomacy 2 Honor Leadership Programming"	"8"	"8"	"6"	"6"	"5"	"5"	"Order - Stop this personnel to download a card, then place that card in your discard pile."	"Y"
"Day Kannu Field Colonel"	"NE"	"ST2E-EN04101"	"U"	"Y"	"4U101"	"Personnel"	"2"	""	""	""	""	""	"Bajoran"	"[Cmd][DS9]"	""	""	""	"Bajoran"	"Engineer Officer Security Treachery"	"3"	"3"	"5"	"5"	"6"	"6"	"When you win combat involving this personnel, score 5 points."	"Y"
"Dukat Anjohl Tennan"	"NE"	"ST2E-EN04102"	"R"	"Y"	"4R102"	"Personnel"	"2"	""	""	""	""	""	"Bajoran"	"[Cmd]"	""	""	""	"Cardassian"	"Anthropology Archaeology Diplomacy Programming 2 Treachery"	"2"	"2"	"6"	"6"	"6"	"6"	"While this personnel is facing a dilemma, you may remove an Anthropology or Leadership personnel in your discard pile from the game to make this personnel attributes +1 until the end of this mission attempt."	"Y"
"Kira Meru Comfort Woman"	"NE"	"ST2E-EN04103"	"R"	"Y"	"4R103"	"Personnel"	"1"	""	""	""	""	""	"Bajoran"	"[Pa]"	""	""	""	"Bajoran"	"Anthropology Exobiology Geology"	"5"	"5"	"5"	"5"	"5"	"5"	"While this personnel is attempting a mission, you may lose 5 points to make her gain a skill on a [Baj] personnel in your discard pile until the end of that mission attempt."	"Y"
"Krim Thoughtful Tactician"	"NE"	"ST2E-EN04104"	"R"	"Y"	"4R104"	"Personnel"	"2"	""	""	""	""	""	"Bajoran"	"[Cmd][DS9]"	""	"Commander: Talnot. General."	""	"Bajoran"	"Astrometrics Honor Leadership Officer"	"6"	"6"	"6"	"6"	"6"	"6"	"Order - Lose 5 points and stop this personnel to name a dilemma. Choose an opponent to take each copy of that dilemma from his or her dilemma pile, place them beneath your completed mission, then shuffle and replace his or her dilemma pile face down."	"Y"
"Kulan Militia Soldier"	"NE"	"ST2E-EN04105"	"C"	"Y"	"4C105"	"Personnel"	"2"	""	""	""	""	""	"Bajoran"	"[Stf]"	""	"Bajoran Resistance."	""	"Bajoran"	"Engineer Honor Navigation Transporters"	"6"	"6"	"5"	"5"	"5"	"5"	"When you play this personnel, for each event in your discard pile, he is cost -1. While you have a Navigation personnel in your discard pile, this personnel gains Navigation."	"Y"
"Leeta Rebel Supporter"	"NE"	"ST2E-EN04106"	"R"	"Y"	"4R106"	"Personnel"	"0"	""	""	""	""	""	"Bajoran"	"[TN]"	""	"Dabo Girl. Dissident."	""	"Bajoran"	"Anthropology Honor"	"6"	"6"	"5"	"5"	"4"	"4"	"When you play this personnel, discard a card from hand. While you have more than ten cards in your discard pile, each of your Dissident personnel present is attributes +1."	"Y"
"Razka Karn Scavenger"	"NE"	"ST2E-EN04107"	"C"	"Y"	"4C107"	"Personnel"	"2"	""	""	""	""	""	"Bajoran"	"[Stf]"	""	"Bajoran Resistance. Smuggler. Thief."	""	"Bajoran"	"Acquisition Archaeology Astrometrics Engineer Navigation"	"4"	"4"	"6"	"6"	"5"	"5"	"While this personnel is facing a dilemma, you may discard an event from hand to replace his Integrity with the Integrity of a [Baj] personnel in your discard pile until the end of that dilemma."	"Y"
"Solbor Faithful Attendant"	"NE"	"ST2E-EN04108"	"R"	"Y"	"4R108"	"Personnel"	"3"	""	""	""	""	""	"Bajoran"	""	""	"Prylar."	""	"Bajoran"	"Anthropology Exobiology Honor"	"7"	"7"	"5"	"5"	"3"	"3"	"When you complete a mission involving this personnel, if your Kai, other Prylar, or Vedek used a skill to complete it, score 5 points."	"Y"
"Surmak Ren Medical Administrator"	"NE"	"ST2E-EN04109"	"U"	"Y"	"4U109"	"Personnel"	"3"	""	""	""	""	""	"Bajoran"	""	""	"Bajoran Resistance."	""	"Bajoran"	"Biology Leadership Medical Programming Science"	"5"	"5"	"6"	"6"	"5"	"5"	"When you play this personnel, each opponent discards a card from hand for each headquarters mission he or she commands."	"Y"
"Treyam Militia Soldier"	"NE"	"ST2E-EN04110"	"C"	"Y"	"4C110"	"Personnel"	"2"	""	""	""	""	""	"Bajoran"	"[Stf]"	""	"Bajoran Resistance."	""	"Bajoran"	"Archaeology Medical Physics Programming"	"5"	"5"	"5"	"5"	"6"	"6"	"When you play this personnel, for each event in your discard pile, he is cost -1. While you have a Medical personnel in your discard pile, this personnel gains Medical."	"Y"
"Defragmentation Drone"	"NE"	"ST2E-EN04111"	"C"	"N"	"4C111"	"Personnel"	"1"	""	""	""	""	""	"Borg"	"[Stf]"	""	"Drone."	""	"Borg"	"Physics Security"	"5"	"5"	"5"	"5"	"5"	"5"	"Order - Destroy an event in your core to draw cards equal to that event's cost."	"Y"
"Examination Drone"	"NE"	"ST2E-EN04112"	"C"	"N"	"4C112"	"Personnel"	"2"	""	""	""	""	""	"Borg"	"[Stf]"	""	"Drone."	""	"Borg"	"Anthropology Archaeology Astrometrics"	"5"	"5"	"5"	"5"	"5"	"5"	"When you play this personnel, choose an opponent. You may draw a card for each headquarters mission he or she commands."	"Y"
"Facilitation Drone"	"NE"	"ST2E-EN04113"	"U"	"N"	"4U113"	"Personnel"	"2"	""	""	""	""	""	"Borg"	"[Stf]"	""	"Drone."	""	"Borg"	"Biology Geology Medical Programming"	"5"	"5"	"5"	"5"	"5"	"5"	"When you play this personnel, you may reveal up to three cards from the bottom of your deck. As your next action, you may play one of those cards as if it were in your hand. Those you do not play are placed in your discard pile."	"Y"
"Five of Twelve Secondary Adjunct of Trimatrix 942"	"NE"	"ST2E-EN04114"	"U"	"Y"	"4U114"	"Personnel"	"3"	""	""	""	""	""	"Borg"	"[Stf]"	""	"Drone."	""	"Borg"	"Anthropology Biology Engineer Navigation Programming"	"5"	"5"	"6"	"6"	"6"	"6"	"When you fail a mission attempt involving this personnel, he is not stopped."	"Y"
"Reconnaissance Drone"	"NE"	"ST2E-EN04115"	"U"	"N"	"4U115"	"Personnel"	"3"	""	""	""	""	""	"Borg"	"[Stf]"	""	"Drone."	""	"Borg"	"Exobiology Navigation Security Transporters"	"5"	"5"	"5"	"5"	"5"	"5"	"When you play this personnel, you may download a non-Drone personnel, then place that personnel on top of your deck."	"Y"
"Aamin Marritza Honorable Patriot"	"NE"	"ST2E-EN04116a"	"U"	"Y"	"4U116"	"Personnel"	"2"	""	""	""	""	""	"Cardassian"	"[Stf]"	""	"Dissident."	""	"Cardassian"	"2 Honor Programming"	"8"	"8"	"6"	"6"	"3"	"3"	"While this personnel is attempting a mission, you may discard an event from hand to make him gain a skill of your choice that he does not already have until the end of that mission attempt. You may do this only once each turn."	"Y"
"Broca Grovelling Lackey"	"NE"	"ST2E-EN04117"	"U"	"Y"	"4U117"	"Personnel"	"3"	""	""	""	""	""	"Cardassian"	"[Cmd]"	""	"Legate."	""	"Cardassian"	"Archaeology Engineer Officer Transporters Treachery"	"4"	"4"	"5"	"5"	"5"	"5"	"Order - Discard a card from hand and reveal an event from hand to download a copy of that event. You may do this only once each turn."	"Y"
"Hogue Student of Political Ethics"	"NE"	"ST2E-EN04118"	"C"	"Y"	"4C118"	"Personnel"	"1"	""	""	""	""	""	"Cardassian"	"[Stf]"	""	"Dissident."	""	"Cardassian"	"Honor Leadership Navigation"	"6"	"6"	"5"	"5"	"5"	"5"	"Order - Discard the top card of your deck to make this personnel gain Science until the end of this turn. You may do this only once each turn."	"Y"
"Kira Nerys Iliana Ghemor"	"NE"	"ST2E-EN04119a"	"R"	"Y"	"4R119"	"Personnel"	"1"	""	""	""	""	""	"Cardassian"	"[Stf]"	""	"Dissident."	""	"Bajoran"	"Honor Programming Security"	"6"	"6"	"6"	"6"	"6"	"6"	"Order - Lose 5 points and stop this personnel to download up to three [Car] Dissident personnel, then place them on a headquarters mission where they could be played."	"Y"
"Mila Trusted Confidante"	"NE"	"ST2E-EN04120a"	"U"	"Y"	"4U120"	"Personnel"	"2"	""	""	""	""	""	"Cardassian"	""	""	"Chef. Dissident."	""	"Cardassian"	"Biology Honor Intelligence Medical"	"7"	"7"	"5"	"5"	"3"	"3"	"When an interrupt is played, you may kill this personnel to prevent that interrupt and place it in its owner's discard pile."	"Y"
"Odo Impartial Investigator"	"NE"	"ST2E-EN04121"	"R"	"Y"	"4R121"	"Personnel"	"3"	""	""	""	""	""	"Cardassian"	"[Stf][Pa]"	""	"Shape-shifter."	""	"Changeling"	"Anthropology Exobiology Honor Law Security"	"6"	"6"	"6"	"6"	"8"	"8"	"Order - If this personnel is at a non-headquarters mission, lose 5 points and stop him to place an opponent's non-Honor personnel present in your brig."	"Y"
